TABLE dtl(l,i,j,cl)
					r	s	pmax	current	can	cost
l1	.	i1	.	i2	0.01	9.66	402	1	0	0
l2	.	i4	.	i3	0.01	12.82	956	1	0	0
l3	.	i4	.	i6	0.01	23.95	1004	1	0	0
l4	.	i4	.	i21	0.01	32.82	777	1	0	0
l5	.	i4	.	i21	0.01	32.82	777	1	0	0
l6	.	i5	.	i7	0.01	10.01	717	1	0	0
l7	.	i6	.	i5	0.01	102.04	1076	1	0	0
l8	.	i8	.	i22	0.01	10.53	939	1	0	0
l9	.	i9	.	i20	0.01	32.94	717	1	0	0
l10	.	i10	.	i293	0.01	5.98	359	1	0	0
l11	.	i11	.	i12	0.01	31.44	1568	1	0	0
l12	.	i12	.	i65	0.01	65.36	1645	1	0	0
l13	.	i13	.	i12	0.01	186.92	1628	1	0	0
l14	.	i13	.	i93	0.01	69.69	1905	1	0	0
l15	.	i15	.	i4	0.01	188.68	1195	1	0	0
l16	.	i15	.	i5	0.01	19.31	1004	1	0	0
l17	.	i15	.	i14	0.01	16.48	687	1	0	0
l18	.	i15	.	i14	0.01	16.34	687	1	0	0
l19	.	i17	.	i74	0.01	49.73	2338	1	0	0
l20	.	i19	.	i17	0.01	1428.57	2971	1	0	0
l21	.	i19	.	i17	0.01	1428.57	2971	1	0	0
l22	.	i19	.	i17	0.01	1250	2579	1	0	0
l23	.	i19	.	i54	0.01	89.37	2579	1	0	0
l24	.	i21	.	i22	0.01	19.25	925	1	0	0
l25	.	i21	.	i22	0.01	19.47	925	1	0	0
l26	.	i22	.	i20	0.01	18.57	925	1	0	0
l27	.	i23	.	i278	0.01	29.59	300	1	0	0
l28	.	i24	.	i26	0.01	138.31	675	1	0	0
l29	.	i24	.	i30	0.01	129.87	637	1	0	0
l30	.	i25	.	i37	0.01	50.25	341	1	0	0
l31	.	i26	.	i27	0.01	153.37	637	1	0	0
l32	.	i26	.	i84	0.01	36.02	341	1	0	0
l33	.	i31	.	i37	0.01	149.25	398	1	0	0
l34	.	i32	.	i40	0.01	108.34	2788	1	0	0
l35	.	i33	.	i64	0.01	454.55	637	1	0	0
l36	.	i34	.	i27	0.01	221.24	637	1	0	0
l37	.	i34	.	i27	0.01	221.24	637	1	0	0
l38	.	i35	.	i27	0.01	117.23	333	1	0	0
