ig(i,g)         Generators conected to node i
/
i17	.	g1
i99	.	g2
i106	.	g3
i2	.	g4
i4	.	g5
i4	.	g6
i5	.	g7
i6	.	g8
i7	.	g9
i8	.	g10
i9	.	g11
i10	.	g12
i13	.	g13
i14	.	g14
i18	.	g15
i19	.	g16
i20	.	g17
i22	.	g18
i25	.	g19
i27	.	g20
i32	.	g21
i42	.	g22
i45	.	g23
i49	.	g24
i50	.	g25
i58	.	g26
i59	.	g27
i60	.	g28
i66	.	g29
i66	.	g30
i68	.	g31
i69	.	g32
i69	.	g33
i72	.	g34
i82	.	g35
i87	.	g36
i88	.	g37
i89	.	g38
i95	.	g39
i95	.	g40
i96	.	g41
i97	.	g42
i97	.	g43
i99	.	g44
i99	.	g45
i100	.	g46
i100	.	g47
i101	.	g48
i102	.	g49
i103	.	g50
i103	.	g51
i108	.	g52
i109	.	g53
i109	.	g54
i113	.	g55
i124	.	g56
i126	.	g57
i127	.	g58
i138	.	g59
i138	.	g60
i144	.	g61
i145	.	g62
i189	.	g63
i199	.	g64
i201	.	g65
i201	.	g66
i205	.	g67
i205	.	g68
i211	.	g69
i211	.	g70
i222	.	g71
i232	.	g72
i247	.	g73
i251	.	g74
i254	.	g75
i263	.	g76
i263	.	g77
i270	.	g78
i290	.	g79
i291	.	g80
i293	.	g81
i294	.	g82
i295	.	g83
i296	.	g84
i297	.	g85
i305	.	g86
i48	.	g87
i49	.	g88
i50	.	g89
i53	.	g90
i57	.	g91
i66	.	g92
i69	.	g93
i82	.	g94
i95	.	g95
i97	.	g96
i204	.	g97
i219	.	g98
i247	.	g99
i251	.	g100
i254	.	g101
i41	.	g102
i48	.	g103
i49	.	g104
i50	.	g105
i53	.	g106
i58	.	g107
i97	.	g108
i124	.	g109
i148	.	g110
i270	.	g111
i293	.	g112
i4	.	g113
i7	.	g114
i8	.	g115
i8	.	g116
i9	.	g117
i14	.	g118
i19	.	g119
i20	.	g120
i24	.	g121
i27	.	g122
i28	.	g123
i32	.	g124
i39	.	g125
i42	.	g126
i45	.	g127
i48	.	g128
i49	.	g129
i53	.	g130
i55	.	g131
i58	.	g132
i59	.	g133
i60	.	g134
i64	.	g135
i66	.	g136
i66	.	g137
i66	.	g138
i68	.	g139
i69	.	g140
i72	.	g141
i77	.	g142
i82	.	g143
i87	.	g144
i87	.	g145
i88	.	g146
i89	.	g147
i95	.	g148
i95	.	g149
i96	.	g150
i97	.	g151
i97	.	g152
i99	.	g153
i99	.	g154
i100	.	g155
i102	.	g156
i109	.	g157
i126	.	g158
i127	.	g159
i138	.	g160
i138	.	g161
i142	.	g162
i144	.	g163
i146	.	g164
i150	.	g165
i154	.	g166
i172	.	g167
i179	.	g168
i189	.	g169
i199	.	g170
i201	.	g171
i201	.	g172
i212	.	g173
i219	.	g174
i251	.	g175
i290	.	g176
i291	.	g177
i293	.	g178
i294	.	g179
i295	.	g180
i296	.	g181
i1	.	g182
i4	.	g183
i11	.	g184
i13	.	g185
i14	.	g186
i15	.	g187
i20	.	g188
i22	.	g189
i32	.	g190
i66	.	g191
i68	.	g192
i82	.	g193
i95	.	g194
i97	.	g195
i97	.	g196
i99	.	g197
i99	.	g198
i150	.	g199
i163	.	g200
i201	.	g201
i211	.	g202
i211	.	g203
i211	.	g204
i228	.	g205
i230	.	g206
i231	.	g207
i236	.	g208
i236	.	g209
i246	.	g210
i254	.	g211
i263	.	g212
i263	.	g213
i263	.	g214
i265	.	g215
i290	.	g216
i293	.	g217
i294	.	g218
i295	.	g219
i295	.	g220
i300	.	g221
i305	.	g222
i309	.	g223
i5	.	g224
i6	.	g225
i8	.	g226
i14	.	g227
i18	.	g228
i19	.	g229
i49	.	g230
i53	.	g231
i57	.	g232
i58	.	g233
i60	.	g234
i66	.	g235
i66	.	g236
i68	.	g237
i68	.	g238
i69	.	g239
i82	.	g240
i87	.	g241
i88	.	g242
i89	.	g243
i89	.	g244
i97	.	g245
i97	.	g246
i97	.	g247
i102	.	g248
i103	.	g249
i163	.	g250
i199	.	g251
i199	.	g252
i201	.	g253
i201	.	g254
i202	.	g255
i209	.	g256
i211	.	g257
i247	.	g258
i251	.	g259
i293	.	g260
i19	.	g261
i19	.	g262
i50	.	g263
i50	.	g264
i53	.	g265
i59	.	g266
i59	.	g267
i60	.	g268
i61	.	g269
i66	.	g270
i66	.	g271
i66	.	g272
i68	.	g273
i68	.	g274
i68	.	g275
i69	.	g276
i69	.	g277
i72	.	g278
i87	.	g279
i88	.	g280
i95	.	g281
i95	.	g282
i96	.	g283
i96	.	g284
i97	.	g285
i97	.	g286
i97	.	g287
i97	.	g288
i99	.	g289
i100	.	g290
i100	.	g291
i101	.	g292
i101	.	g293
i102	.	g294
i103	.	g295
i103	.	g296
i113	.	g297
i117	.	g298
i124	.	g299
i124	.	g300
i124	.	g301
i124	.	g302
i124	.	g303
i126	.	g304
i127	.	g305
i138	.	g306
i138	.	g307
i142	.	g308
i142	.	g309
i144	.	g310
i145	.	g311
i145	.	g312
i150	.	g313
i150	.	g314
i187	.	g315
i189	.	g316
i195	.	g317
i197	.	g318
i198	.	g319
i199	.	g320
i199	.	g321
i201	.	g322
i201	.	g323
i202	.	g324
i202	.	g325
i212	.	g326
i212	.	g327
i212	.	g328
i212	.	g329
i251	.	g330
i293	.	g331
i59	.	g332
i60	.	g333
i62	.	g334
i66	.	g335
i68	.	g336
i95	.	g337
i97	.	g338
i101	.	g339
i103	.	g340
i2	.	g341
i3	.	g342
i19	.	g343
i37	.	g344
i38	.	g345
i41	.	g346
i50	.	g347
i53	.	g348
i57	.	g349
i66	.	g350
i68	.	g351
i69	.	g352
i72	.	g353
i82	.	g354
i87	.	g355
i88	.	g356
i95	.	g357
i96	.	g358
i97	.	g359
i101	.	g360
i102	.	g361
i103	.	g362
i108	.	g363
i109	.	g364
i113	.	g365
i116	.	g366
i120	.	g367
i121	.	g368
i122	.	g369
i124	.	g370
i126	.	g371
i127	.	g372
i129	.	g373
i135	.	g374
i136	.	g375
i139	.	g376
i142	.	g377
i144	.	g378
i145	.	g379
i148	.	g380
i150	.	g381
i154	.	g382
i156	.	g383
i158	.	g384
i163	.	g385
i170	.	g386
i171	.	g387
i172	.	g388
i173	.	g389
i174	.	g390
i180	.	g391
i181	.	g392
i183	.	g393
i187	.	g394
i189	.	g395
i192	.	g396
i197	.	g397
i199	.	g398
i200	.	g399
i201	.	g400
i202	.	g401
i204	.	g402
i205	.	g403
i209	.	g404
i210	.	g405
i211	.	g406
i212	.	g407
i213	.	g408
i214	.	g409
i216	.	g410
i217	.	g411
i219	.	g412
i222	.	g413
i225	.	g414
i230	.	g415
i232	.	g416
i247	.	g417
i251	.	g418
i254	.	g419
i272	.	g420
i276	.	g421
i290	.	g422
i291	.	g423
i292	.	g424
i293	.	g425
i294	.	g426
i295	.	g427
i301	.	g428
i303	.	g429
i305	.	g430
i307	.	g431
i19	.	g432
i60	.	g433
i69	.	g434
i88	.	g435
i101	.	g436
i290	.	g437
i292	.	g438
i66	.	g439
i99	.	g440
i19	.	g441
i41	.	g442
i42	.	g443
i45	.	g444
i50	.	g445
i57	.	g446
i66	.	g447
i68	.	g448
i69	.	g449
i37	.	g450
i42	.	g451
i41	.	g452
i62	.	g453
i65	.	g454
i74	.	g455
i33	.	g456
i247	.	g457
i7	.	g458
i6	.	g459
i293	.	g460
i201	.	g461
i242	.	g462
i263	.	g463
i294	.	g464
i294	.	g465
i195	.	g466
i18	.	g467
i42	.	g468
i95	.	g469
i97	.	g470
i142	.	g471
i144	.	g472
i97	.	g473
i99	.	g474
i101	.	g475
i95	.	g476
i97	.	g477
i99	.	g478
i101	.	g479
i66	.	g480
i72	.	g481
i87	.	g482
i59	.	g483
i60	.	g484
i61	.	g485
i7	.	g486
i8	.	g487
i209	.	g488
i216	.	g489
i205	.	g490
i24	.	g491
i27	.	g492
i28	.	g493
i32	.	g494
i210	.	g495
i82	.	g496
i211	.	g497
i148	.	g498
i290	.	g499
i291	.	g500
i293	.	g501
i295	.	g502
i126	.	g503
i150	.	g504
i95	.	g505
i247	.	g506
i19	.	g507
i66	.	g508
i68	.	g509
i59	.	g510
i60	.	g511
i61	.	g512
i108	.	g513
i264	.	g514
i102	.	g515
i96	.	g516
i142	.	g517
i66	.	g518
i87	.	g519
i94	.	g520
i96	.	g521
i112	.	g522
i183	.	g523
i276	.	g524
i95	.	g525
i276	.	g526
i95	.	g527
i135	.	g528
i232	.	g529
i201	.	g530
i95	.	g531
i95	.	g532
i142	.	g533
i95	.	g534
i301	.	g535
i211	.	g536
i96	.	g537
i45	.	g538
i142	.	g539
i66	.	g540
i142	.	g541
i97	.	g542
i97	.	g543
i95	.	g544
i133	.	g545
i96	.	g546
i97	.	g547
i8	.	g548
i295	.	g549
i101	.	g550
i211	.	g551
i295	.	g552
i295	.	g553
i97	.	g554
i211	.	g555
i178	.	g556
i264	.	g557
i232	.	g558
i19	.	g559
i50	.	g560
i53	.	g561
i59	.	g562
i60	.	g563
i66	.	g564
i68	.	g565
i69	.	g566
i72	.	g567
i87	.	g568
i88	.	g569
i95	.	g570
i96	.	g571
i97	.	g572
i100	.	g573
i101	.	g574
i102	.	g575
i103	.	g576
i108	.	g577
i124	.	g578
i145	.	g579
i163	.	g580
i181	.	g581
i187	.	g582
i197	.	g583
i201	.	g584
i205	.	g585
i212	.	g586
i216	.	g587
i217	.	g588
i219	.	g589
i230	.	g590
i232	.	g591
i247	.	g592
i290	.	g593
i293	.	g594
i295	.	g595
i300	.	g596
i302	.	g597
i294	.	g598
i303	.	g599
i178	.	g600
i95	.	g601
i95	.	g602
i142	.	g603
i101	.	g604
i135	.	g605
i129	.	g606
i201	.	g607
i96	.	g608
i102	.	g609
i99	.	g610
i94	.	g611
i99	.	g612
i96	.	g613
i102	.	g614
i101	.	g615
i296	.	g616
i142	.	g617
i135	.	g618
i142	.	g619
i189	.	g620
i139	.	g621
i139	.	g622
i144	.	g623
i101	.	g624
i138	.	g625
i95	.	g626
i95	.	g627
i97	.	g628
i97	.	g629
i97	.	g630
i301	.	g631
i95	.	g632
i101	.	g633
i95	.	g634
i97	.	g635
i201	.	g636
i41	.	g637
i95	.	g638
i95	.	g639
i295	.	g640
i69	.	g641
i156	.	g642
i192	.	g643
i95	.	g644
i201	.	g645
i192	.	g646
i101	.	g647
i296	.	g648
i95	.	g649
i95	.	g650
i97	.	g651
i96	.	g652
i97	.	g653
i97	.	g654
i154	.	g655
i201	.	g656
i95	.	g657
i142	.	g658
i307	.	g659
i97	.	g660
i156	.	g661
i95	.	g662
i87	.	g663
i96	.	g664
i95	.	g665
i138	.	g666
i95	.	g667
i95	.	g668
i99	.	g669
i173	.	g670
i97	.	g671
i72	.	g672
i97	.	g673
i77	.	g674
i87	.	g675
i75	.	g676
i76	.	g677
i77	.	g678
i97	.	g679
i87	.	g680
i69	.	g681
i97	.	g682
i99	.	g683
i99	.	g684
i95	.	g685
i173	.	g686
i95	.	g687
i18	.	g688
i97	.	g689
i14	.	g690
i19	.	g691
i20	.	g692
i22	.	g693
i14	.	g694
i19	.	g695
i54	.	g696
i97	.	g697
i101	.	g698
i65	.	g699
i66	.	g700
i72	.	g701
i74	.	g702
i94	.	g703
i41	.	g704
i50	.	g705
i55	.	g706
i60	.	g707
i66	.	g708
i68	.	g709
i69	.	g710
i72	.	g711
i88	.	g712
i95	.	g713
i97	.	g714
i99	.	g715
i100	.	g716
i101	.	g717
i102	.	g718
i103	.	g719
i53	.	g720
i55	.	g721
i66	.	g722
i68	.	g723
i74	.	g724
i88	.	g725
i94	.	g726
i99	.	g727
i100	.	g728
i103	.	g729
i295	.	g730
i305	.	g731
i293	.	g732
i305	.	g733
i5	.	g734
i6	.	g735
i7	.	g736
i10	.	g737
i7	.	g738
i8	.	g739
i27	.	g740
i28	.	g741
i32	.	g742
i64	.	g743
i247	.	g744
i251	.	g745
i124	.	g746
i163	.	g747
i7	.	g748
i8	.	g749
i270	.	g750
i1	.	g751
i6	.	g752
i7	.	g753
i9	.	g754
i18	.	g755
i42	.	g756
i97	.	g757
i66	.	g758
i72	.	g759
i87	.	g760
i59	.	g761
i60	.	g762
i61	.	g763
i66	.	g764
i68	.	g765
i59	.	g766
i60	.	g767
i61	.	g768
i7	.	g769
i50	.	g770
i88	.	g771
i32	.	g772
i211	.	g773
i2	.	g774
i45	.	g775
i160	.	g776
i163	.	g777
i183	.	g778
i193	.	g779
i205	.	g780
i209	.	g781
i210	.	g782
i211	.	g783
i216	.	g784
i219	.	g785
i222	.	g786
i232	.	g787
i263	.	g788
i293	.	g789
i295	.	g790
i300	.	g791
i95	.	g792
i97	.	g793
i99	.	g794
i101	.	g795
i102	.	g796
i135	.	g797
i138	.	g798
i144	.	g799
i210	.	g800
i97	.	g801
i99	.	g802
i100	.	g803
i101	.	g804
i102	.	g805
i103	.	g806
i148	.	g807
i150	.	g808
i192	.	g809
i290	.	g810
i292	.	g811
i293	.	g812
i295	.	g813
i300	.	g814
i305	.	g815
i109	.	g816
i126	.	g817
i150	.	g818
i195	.	g819
i66	.	g820
i68	.	g821
i69	.	g822
i87	.	g823
i94	.	g824
i145	.	g825
i59	.	g826
i60	.	g827
i61	.	g828
i95	.	g829
i14	.	g830
i19	.	g831
i20	.	g832
i25	.	g833
i45	.	g834
i97	.	g835
i14	.	g836
i19	.	g837
i8	.	g838
i14	.	g839
i19	.	g840
i22	.	g841
i19	.	g842
i97	.	g843
i99	.	g844
i100	.	g845
i101	.	g846
i50	.	g847
i53	.	g848
i55	.	g849
i66	.	g850
i69	.	g851
i94	.	g852
i97	.	g853
i99	.	g854
i102	.	g855
i6	.	g856
i295	.	g857
i7	.	g858
i8	.	g859
i49	.	g860
i65	.	g861
i201	.	g862
i14	.	g863
i19	.	g864
i12	.	g865
i14	.	g866
i19	.	g867
i199	.	g868
i199	.	g869
i199	.	g870
i68	.	g871
i69	.	g872
i72	.	g873
i88	.	g874
i94	.	g875
i97	.	g876
i94	.	g877
i95	.	g878
i97	.	g879
i57	.	g880
i59	.	g881
i66	.	g882
i72	.	g883
i294	.	g884
i295	.	g885
i296	.	g886
i294	.	g887
i295	.	g888
i296	.	g889
i293	.	g890
i293	.	g891
i204	.	g892
i209	.	g893
i210	.	g894
i289	.	g895
i205	.	g896
i217	.	g897
i230	.	g898
i232	.	g899
i234	.	g900
i239	.	g901
i294	.	g902
i1	.	g903
i5	.	g904
i6	.	g905
i8	.	g906
i251	.	g907
i255	.	g908
i129	.	g909
i136	.	g910
i157	.	g911
i190	.	g912
i193	.	g913
i221	.	g914
i136	.	g915
i170	.	g916
i193	.	g917
i212	.	g918
i136	.	g919
i144	.	g920
i170	.	g921
i190	.	g922
i8	.	g923
i49	.	g924
i82	.	g925
i124	.	g926
i175	.	g927
i190	.	g928
i194	.	g929
i196	.	g930
i198	.	g931
i139	.	g932
i144	.	g933
i145	.	g934
i156	.	g935
i170	.	g936
i172	.	g937
i175	.	g938
i182	.	g939
i190	.	g940
i196	.	g941
i145	.	g942
i156	.	g943
i175	.	g944
i191	.	g945
i211	.	g946
i264	.	g947
i282	.	g948
i284	.	g949
i296	.	g950
i211	.	g951
i293	.	g952
i201	.	g953
i13	.	g954
i199	.	g955
i62	.	g956
i66	.	g957
i88	.	g958
i94	.	g959
i97	.	g960
i293	.	g961
i230	.	g962
i6	.	g963
i13	.	g964
i247	.	g965
i251	.	g966
i124	.	g967
i136	.	g968
i144	.	g969
i124	.	g970
i157	.	g971
i193	.	g972
i124	.	g973
i124	.	g974
i172	.	g975
i175	.	g976
i124	.	g977
i175	.	g978
i124	.	g979
i197	.	g980
/
