line	From	To	R	X	pmax	cand	built
l1	1	2	0.0192	0.0575	130	0	1
l2	1	3	0.0452	0.1652	130	0	1
l3	2	4	0.057	0.1737	65	0	1
l4	3	4	0.0132	0.0379	130	0	1
l5	2	5	0.0472	0.1983	130	0	1
l6	2	6	0.0581	0.1763	165	0	1
l7	4	6	0.0119	0.0414	90	0	1
l8	5	7	0.046	0.116	70	0	1
l9	6	7	0.0267	0.082	130	0	1
l10	6	8	0.012	0.042	32	0	1
l11	6	9	0	0.208	65	0	1
l12	6	10	0	0.556	32	0	1
l13	9	11	0	0.208	65	0	1
l14	9	10	0	0.11	65	0	1
l15	4	12	0	0.256	65	0	1
l16	12	13	0	0.14	32	0	1
l17	12	14	0.1231	0.2559	32	0	1
l18	12	15	0.0662	0.1304	32	0	1
l19	12	16	0.0945	0.1987	16	0	1
l20	14	15	0.221	0.1997	16	0	1
l21	16	17	0.0524	0.1923	16	0	1
l22	15	18	0.1073	0.2185	16	0	1
l23	18	19	0.0639	0.1292	16	0	1
l24	19	20	0.034	0.068	16	0	1
l25	10	20	0.0936	0.209	32	0	1
l26	10	17	0.0324	0.0845	32	0	1
l27	10	21	0.0348	0.0749	32	0	1
l28	10	22	0.0727	0.1499	32	0	1
l29	21	22	0.0116	0.0236	32	0	1
l30	15	23	0.1	0.202	16	0	1
l31	22	24	0.115	0.179	16	0	1
l32	23	24	0.132	0.27	16	0	1
l33	24	25	0.1885	0.3292	16	0	1
l34	25	26	0.2544	0.38	16	0	1
l35	25	27	0.1093	0.2087	16	0	1
l36	28	27	0	0.396	65	0	1
l37	27	29	0.2198	0.4153	16	0	1
l38	27	30	0.3202	0.6027	16	0	1
l39	29	30	0.2399	0.4533	26	0	1
l40	8	28	0.0636	0.2	32	0	1
l41	6	28	0.0169	0.0599	32	0	1
l42	1	2	0.0192	0.0575	130	1	0
l43	1	3	0.0452	0.1652	130	1	0
l44	2	4	0.057	0.1737	65	1	0
l45	3	4	0.0132	0.0379	130	1	0
l46	2	5	0.0472	0.1983	130	1	0
l47	2	6	0.0581	0.1763	165	1	0
l48	4	6	0.0119	0.0414	90	1	0
l49	5	7	0.046	0.116	70	1	0
l50	6	7	0.0267	0.082	130	1	0
l51	6	8	0.012	0.042	32	1	0
l52	6	9	0	0.208	65	1	0
l53	6	10	0	0.556	32	1	0
l54	9	11	0	0.208	65	1	0
l55	9	10	0	0.11	65	1	0
l56	4	12	0	0.256	65	1	0
l57	12	13	0	0.14	32	1	0
l58	12	14	0.1231	0.2559	32	1	0
l59	12	15	0.0662	0.1304	32	1	0
l60	12	16	0.0945	0.1987	16	1	0
l61	14	15	0.221	0.1997	16	1	0
l62	16	17	0.0524	0.1923	16	1	0
l63	15	18	0.1073	0.2185	16	1	0
l64	18	19	0.0639	0.1292	16	1	0
l65	19	20	0.034	0.068	16	1	0
l66	10	20	0.0936	0.209	32	1	0
l67	10	17	0.0324	0.0845	32	1	0
l68	10	21	0.0348	0.0749	32	1	0
l69	10	22	0.0727	0.1499	32	1	0
l70	21	22	0.0116	0.0236	32	1	0
l71	15	23	0.1	0.202	16	1	0
l72	22	24	0.115	0.179	16	1	0
l73	23	24	0.132	0.27	16	1	0
l74	24	25	0.1885	0.3292	16	1	0
l75	25	26	0.2544	0.38	16	1	0
l76	25	27	0.1093	0.2087	16	1	0
l77	28	27	0	0.396	65	1	0
l78	27	29	0.2198	0.4153	16	1	0
l79	27	30	0.3202	0.6027	16	1	0
l80	29	30	0.2399	0.4533	26	1	0
l81	8	28	0.0636	0.2	32	1	0
l82	6	28	0.0169	0.0599	32	1	0
l83	1	4	0.0586	0.2033	80	1	0
l84	1	5	0.0666	0.256	80	1	0
l85	1	6	0.0706	0.234	80	1	0
l86	1	7	0.0974	0.3161	80	1	0
l87	1	8	0.0827	0.2761	80	1	0
l88	1	28	0.0876	0.294	80	1	0
l89	2	3	0.0646	0.2118	80	1	0
l90	2	7	0.085	0.2585	80	1	0
l91	2	8	0.0703	0.2185	80	1	0
l92	2	28	0.0752	0.2364	80	1	0
l93	3	5	0.0982	0.2777	80	1	0
l94	3	6	0.0253	0.0795	80	1	0
l95	3	7	0.0521	0.1616	80	1	0
l96	3	8	0.0374	0.1216	80	1	0
l97	3	28	0.0423	0.1395	80	1	0
l98	4	5	0.0849	0.2397	80	1	0
l99	4	7	0.0388	0.1236	80	1	0
l100	4	8	0.0241	0.0836	80	1	0
l101	4	28	0.029	0.1015	80	1	0
l102	5	6	0.0729	0.1982	80	1	0
l103	5	8	0.085	0.2403	80	1	0
l104	5	28	0.0899	0.2582	80	1	0
l105	7	8	0.0389	0.1242	80	1	0
l106	7	28	0.0438	0.1421	80	1	0
l107	10	12	0.0122	0.4758	32	1	0
l108	10	14	0.1354	0.7318	32	1	0
l109	10	15	0.0785	0.6063	32	1	0
l110	10	16	0.085	0.277	32	1	0
l111	10	18	0.1859	0.4065	32	1	0
l112	10	19	0.1278	0.2772	32	1	0
l113	10	23	0.1786	0.5479	32	1	0
l114	10	24	0.1617	0.2778	32	1	0
l115	10	25	0.1266	0.6071	32	1	0
l116	10	26	0.3811	0.9872	32	1	0
l117	10	27	0.0172	0.7743	32	1	0
l118	10	29	0.2371	1.1897	32	1	0
l119	10	30	0.3375	1.3771	32	1	0
l120	12	17	0.0447	0.3912	32	1	0
l121	12	18	0.1737	0.3491	32	1	0
l122	12	19	0.14	0.4784	32	1	0
l123	12	20	0.1059	0.5465	32	1	0
l124	12	21	0.0471	0.5508	32	1	0
l125	12	22	0.0588	0.5745	32	1	0
l126	12	23	0.1664	0.3326	32	1	0
l127	12	24	0.1739	0.6027	32	1	0
l128	12	25	0.1386	0.932	32	1	0
l129	12	26	0.3931	1.3121	32	1	0
l130	12	27	0.0292	0.7537	32	1	0
l131	12	29	0.2491	1.1691	32	1	0
l132	12	30	0.3495	1.3565	32	1	0
l133	14	16	0.2178	0.4548	32	1	0
l134	14	17	0.1679	0.6472	32	1	0
l135	14	18	0.2969	0.4184	32	1	0
l136	14	19	0.2632	0.5477	32	1	0
l137	14	20	0.2291	0.6158	32	1	0
l138	14	21	0.1703	0.8068	32	1	0
l139	14	22	0.182	0.8305	32	1	0
l140	14	23	0.2896	0.4019	32	1	0
l141	14	24	0.2971	0.672	32	1	0
l142	14	25	0.2618	1.0013	32	1	0
l143	14	26	0.5163	1.3814	32	1	0
l144	14	27	0.1524	1.0097	32	1	0
l145	14	29	0.3723	1.4251	32	1	0
l146	14	30	0.4727	1.6125	32	1	0
l147	15	16	0.1609	0.3293	32	1	0
l148	15	17	0.111	0.5217	32	1	0
l149	15	19	0.1714	0.3479	32	1	0
l150	15	20	0.1722	0.416	32	1	0
l151	15	21	0.1134	0.675	32	1	0
l152	15	22	0.1251	0.6513	32	1	0
l153	15	24	0.2322	0.4722	32	1	0
l154	15	25	0.2049	0.8015	32	1	0
l155	15	26	0.4594	1.1816	32	1	0
l156	15	27	0.0955	0.8842	32	1	0
l157	15	29	0.3154	1.2996	32	1	0
l158	15	30	0.4158	1.487	32	1	0
l159	16	18	0.2683	0.5479	32	1	0
l160	16	19	0.2128	0.5542	32	1	0
l161	16	20	0.1787	0.4861	32	1	0
l162	16	21	0.1199	0.352	32	1	0
l163	16	22	0.1316	0.3757	32	1	0
l164	16	23	0.261	0.5314	32	1	0
l165	16	24	0.2467	0.5548	32	1	0
l166	16	25	0.2116	0.8841	32	1	0
l167	16	26	0.4661	1.2642	32	1	0
l168	16	27	0.1022	0.9525	32	1	0
l169	16	29	0.3221	1.3679	32	1	0
l170	16	30	0.4225	1.5553	32	1	0
l171	17	18	0.2184	0.4911	32	1	0
l172	17	19	0.1603	0.3618	32	1	0
l173	17	20	0.1262	0.2937	32	1	0
l174	17	21	0.0674	0.1596	32	1	0
l175	17	22	0.0791	0.1833	32	1	0
l176	17	23	0.2111	0.6325	32	1	0
