line	From	To	R	X	pmax	built	cost
l1	1	2	0.0187	0.0374	1000	2	44056
l2	2	4	0.0203	0.0406	1000	0	48880
l3	2	60	0.02175	0.0435	1000	0	52230
l4	2	87	0.01295	0.0259	1000	1	31192
l5	3	71	0.0039	0.0078	3200	0	92253
l6	3	81	0.00245	0.0049	3200	0	60153
l7	3	83	0.00215	0.0043	3200	0	53253
l8	3	87	0.0029	0.0058	1200	0	21232
l9	4	5	0.02175	0.0435	1000	1	52230
l10	4	6	0.02435	0.0487	1000	0	58260
l11	4	32	0.01165	0.0233	300	0	7510
l12	4	60	0.01075	0.0215	1000	0	26770
l13	4	68	0.0035	0.007	1000	0	10020
l14	4	69	0.0081	0.0162	1000	0	20740
l15	4	81	0.0029	0.0058	1200	0	21232
l16	4	87	0.0109	0.0218	1000	1	26502
l17	5	6	0.01205	0.0241	1000	1	29852
l18	5	38	0.00585	0.0117	600	2	8926
l19	5	56	0.01175	0.0235	1000	0	29182
l20	5	58	0.011	0.022	1000	0	27440
l21	5	60	0.01305	0.0261	1000	0	32130
l22	5	68	0.0203	0.0406	1000	0	48880
l23	12	15	0.0128	0.0256	1200	1	31594
l24	12	17	0.0123	0.0246	1200	1	30388
l25	12	35	0.00585	0.0117	600	2	8926
l26	12	84	0.0029	0.0058	1200	0	21232
l27	13	14	0.00375	0.0075	1200	0	10690
l28	13	15	0.01075	0.0215	1200	0	26770
l29	13	17	0.0116	0.0232	1200	0	28780
l30	13	45	0.0145	0.029	1200	1	35480
l31	13	59	0.0116	0.0232	1200	1	28780
l32	14	17	0.0116	0.0232	1200	0	28780
l33	14	45	0.0116	0.0232	1200	0	28780
l34	14	59	0.00785	0.0157	1200	0	20070
l35	15	16	0.00985	0.0197	1200	2	24760
l36	15	45	0.00515	0.0103	1200	0	13906
l37	15	46	0.00585	0.0117	600	1	8926
l38	15	53	0.02115	0.0423	1000	0	50890
l39	16	44	0.00885	0.0177	600	4	8926
l40	16	45	0.011	0.022	1200	0	27440
l41	16	61	0.0064	0.0128	1000	0	16720
l42	16	77	0.0029	0.0058	1200	0	21232
l43	17	18	0.0085	0.017	1200	2	21678
l44	17	59	0.0085	0.017	1200	0	21678
l45	5	70	0.0232	0.0464	1000	0	55580
l46	5	80	0.0029	0.0058	1200	0	21232
l47	6	7	0.0144	0.0288	1000	1	35212
l48	6	37	0.01165	0.0233	300	1	7510
l49	6	67	0.0232	0.0464	1000	0	55580
l50	6	68	0.0238	0.0476	1000	0	56920
l51	6	70	0.01855	0.0371	1000	0	44860
l52	6	75	0.0029	0.0058	1200	0	21232
l53	7	8	0.0117	0.0234	1000	1	29048
l54	7	53	0.0226	0.0452	1000	0	54240
l55	7	62	0.01275	0.0255	1000	0	31460
l56	8	9	0.0093	0.0186	1000	1	23420
l57	8	12	0.0197	0.0394	1000	0	47540
l58	8	17	0.02235	0.0447	1000	0	53570
l59	8	53	0.01825	0.0365	1200	1	44190
l60	8	62	0.02145	0.0429	1000	0	51560
l61	8	73	0.0029	0.0058	1200	0	21232
l62	9	10	0.0023	0.0046	1000	1	7340
l63	10	11	0.00665	0.0133	1000	1	17390
l64	11	12	0.00205	0.0041	1200	1	6670
l65	11	15	0.01485	0.0297	1200	1	36284
l66	11	17	0.0143	0.0286	1200	1	35078
l67	11	53	0.0127	0.0254	1200	1	31326
l68	12	13	0.0023	0.0046	1000	1	7340
l69	27	28	0.0413	0.0826	1200	3	5335
l70	27	35	0.06835	0.1367	170	2	25000
l71	27	53	0.00585	0.0117	300	1	8926
l72	28	35	0.08355	0.1671	600	3	9900
l73	29	30	0.0344	0.0688	170	1	4510
l74	30	31	0.03195	0.0639	170	1	4235
l75	30	63	0.01165	0.0233	170	0	7510
l76	31	34	0.0703	0.1406	300	1	8525
l77	32	33	0.0983	0.1966	170	0	11660
l78	33	67	0.01165	0.0233	170	0	7510
l79	34	39	0.058	0.116	300	2	7510
l80	34	39	0.1484	0.2968	170	2	6335
l81	34	41	0.04965	0.0993	80	2	6215
l82	35	46	0.1086	0.2172	170	4	12705
l83	35	47	0.06635	0.1327	170	2	8085
l84	35	51	0.0801	0.1602	170	3	9625
l85	36	39	0.05945	0.1189	170	2	7315
l86	36	46	0.03195	0.0639	170	2	4235
l87	39	42	0.04865	0.0973	170	1	6105
l88	39	86	0.01165	0.0233	170	0	7510
l89	40	45	0.00585	0.0117	300	1	8926
l90	40	46	0.04375	0.0875	600	3	5500
l91	41	64	0.01165	0.0233	170	0	7510
l92	42	44	0.0349	0.0698	300	2	4565
l93	42	85	0.02505	0.0501	170	2	3465
l94	43	55	0.0127	0.0254	170	0	31326
l95	43	58	0.01565	0.0313	1000	0	38160
l96	44	46	0.08355	0.1671	170	3	10010
l97	47	48	0.0983	0.1966	170	2	11660
l98	48	49	0.03785	0.0757	170	1	4895
l99	18	50	0.00585	0.0117	600	4	8926
l100	18	59	0.01655	0.0331	1200	1	40170
l101	18	74	0.0029	0.0058	1200	0	21232
l102	19	20	0.0467	0.0934	170	1	5885
l103	19	22	0.09385	0.1877	170	1	11165
l104	20	21	0.03575	0.0715	300	1	6960
l105	20	21	0.0516	0.1032	170	1	6435
l106	20	38	0.0691	0.1382	300	2	12840
l107	20	56	0.00585	0.0117	600	0	8926
l108	20	66	0.1032	0.2064	170	0	12210
l109	21	57	0.00585	0.0117	600	0	8926
l110	22	23	0.0757	0.1514	170	1	9130
l111	22	37	0.10075	0.2015	170	2	11935
l112	22	58	0.01165	0.0233	300	0	7510
l113	23	24	0.08255	0.1651	170	1	9900
l114	24	25	0.10765	0.2153	170	1	12705
l115	24	43	0.01165	0.0233	300	0	7510
l116	25	26	0.05365	0.1073	300	2	29636
l117	25	26	0.08455	0.1691	170	3	10120
l118	25	55	0.00585	0.0117	600	0	8926
l119	26	27	0.0702	0.1404	300	2	25500
l120	26	27	0.1106	0.2212	170	3	12760
l121	26	29	0.05405	0.1081	170	1	6710
l122	26	54	0.00585	0.0117	600	0	8926
l123	60	66	0.01165	0.0233	300	0	7510
l124	60	87	0.01885	0.0377	1000	0	45530
l125	61	64	0.0093	0.0186	1000	0	23420
l126	61	85	0.01165	0.0233	300	0	7510
l127	61	86	0.00695	0.0139	1000	0	18060
l128	62	67	0.0232	0.0464	1000	0	55580
l129	62	68	0.02785	0.0557	1000	0	66300
l130	62	72	0.0029	0.0058	1200	0	21232
l131	63	64	0.0145	0.029	1000	0	35480
l132	65	66	0.1573	0.3146	170	0	18260
l133	65	87	0.01165	0.0233	300	0	7510
l134	67	68	0.0145	0.029	1000	0	35480
l135	67	69	0.01045	0.0209	1000	0	26100
l136	67	71	0.0029	0.0058	1200	0	21232
l137	68	69	0.00695	0.0139	1000	0	18060
l138	68	83	0.0029	0.0058	1200	0	21232
l139	68	87	0.0093	0.0186	1000	0	23240
l140	69	87	0.00695	0.0139	1000	0	18060
l141	70	82	0.0029	0.0058	1200	0	21232
l142	71	72	0.0054	0.0108	3200	0	125253
l143	71	75	0.0054	0.0108	3200	0	125253
l144	71	83	0.00335	0.0067	3200	0	80253
l145	72	73	0.005	0.01	3200	0	116253
l146	72	83	0.0065	0.013	3200	0	149253
l147	73	74	0.0065	0.013	3200	0	149253
l148	73	75	0.0065	0.013	3200	0	149253
l149	73	84	0.0046	0.0092	3200	0	107253
l150	74	84	0.0054	0.0108	3200	0	125253
l151	75	76	0.0081	0.0162	3200	0	185253
l152	75	81	0.00565	0.0113	3200	0	131253
l153	48	50	0.0128	0.0256	170	2	2090
l154	48	51	0.10815	0.2163	170	2	12760
l155	49	50	0.04175	0.0835	170	1	5335
l156	51	52	0.028	0.056	170	2	3795
l157	52	59	0.00585	0.0117	600	1	8926
l158	53	54	0.0135	0.027	1000	0	32120
l159	53	70	0.01855	0.0371	1000	0	44860
l160	53	76	0.0029	0.0058	1200	0	21232
l161	53	86	0.01945	0.0389	1000	0	46870
l162	54	55	0.0103	0.0206	1000	0	25028
l163	54	58	0.0255	0.051	1000	0	60940
l164	54	63	0.01015	0.0203	1000	0	25430
l165	54	70	0.018	0.036	1000	0	43520
l166	54	79	0.0029	0.0058	1200	0	21232
l167	56	57	0.0061	0.0122	1000	0	16050
l168	58	78	0.0029	0.0058	1200	0	21232
l169	75	82	0.0043	0.0086	3200	0	101253
l170	75	83	0.00555	0.0111	3200	0	128253
l171	76	77	0.0065	0.013	3200	0	149253
l172	76	82	0.0043	0.0086	3200	0	101253
l173	76	84	0.00295	0.0059	3200	0	70953
l174	77	76	0.00755	0.0151	3200	0	173253
l175	77	84	0.00575	0.0115	3200	0	132753
l176	78	79	0.00595	0.0119	3200	0	137253
l177	78	80	0.00255	0.0051	3200	0	62253
l178	79	82	0.0042	0.0084	3200	0	9853
l179	80	81	0.00505	0.0101	3200	0	117753
l180	80	82	0.0054	0.0108	3200	0	125253
l181	80	83	0.0047	0.0094	3200	0	110253
l182	81	83	0.0008	0.0016	3200	0	23253
l183	82	84	0.00675	0.0135	3200	0	155253
