Load	s1	s2
i1	1857	2747
i2	0	0
i3	0	0
i4	0	0
i5	0	0
i6	0	0
i7	31	31
i8	0	0
i9	0	0
i10	0	0
i11	0	0
i12	0	0
i13	0	0
i14	0	0
i15	0	0
i16	0	0
i17	0	0
i18	0	0
i19	86	125
i20	125	181
i21	722	1044
i22	291	446
i23	58	84
i24	159	230
i25	1502	2273
i26	47	68
i27	378	546
i28	189	273
i29	47	68
i30	189	273
i31	110	225
i32	0	0
i33	0	0
i34	28	107
i35	0	0
i36	25	325
i37	0	0
i38	0	0
i39	186	269
i40	1201	1738
i41	520	752
i42	341	494
i43	4022	5819
i44	205	297
i45	347	432
i46	777	1124
i47	5189	7628
i48	290	420
i49	707	1024
i50	0	0
i51	0	0
i52	0	0
i53	0	0
i54	0	0
i55	0	0
i56	0	0
i57	0	0
i58	0	0
i59	0	0
i60	0	0
i61	0	0
i62	0	0
i63	0	0
i64	0	0
i65	0	0
i66	0	0
i67	0	0
i68	0	0
i69	0	0
i70	0	0
i71	0	0
i72	0	0
i73	0	0
i74	0	0
i75	0	0
i76	0	0
i77	0	0
i78	0	0
i79	0	0
i80	0	0
i81	0	0
i82	0	0
i83	0	0
i84	0	0
i85	487	705
i86	0	0
i87	0	0
