Load	s1	s2	s3	s4	s5	s6	s7	s8	s9
i1	0	0	0	0	0	0	0	0	0
i2	21.7	21.7	50	21.7	21.7	50	21.7	21.7	50
i3	2.4	2.4	20	2.4	2.4	20	2.4	2.4	20
i4	7.6	7.6	20	7.6	7.6	20	7.6	7.6	20
i5	94.2	94.2	130	94.2	94.2	130	94.2	94.2	130
i6	0	0	0	0	0	0	0	0	0
i7	22.8	22.8	30	22.8	22.8	30	22.8	22.8	30
i8	30	30	20	30	30	20	30	30	20
i9	0	0	0	0	0	0	0	0	0
i10	5.8	7	20	5.8	7	20	5.8	7	20
i11	0	0	0	0	0	0	0	0	0
i12	11.2	11.2	22	11.2	11.2	22	11.2	11.2	22
i13	0	0	0	0	0	0	0	0	0
i14	6.2	10	15	6.2	10	15	6.2	10	15
i15	8.2	15	12	8.2	15	12	8.2	15	12
i16	3.5	3.5	15	3.5	3.5	15	3.5	3.5	15
i17	9	9	20	9	9	20	9	9	20
i18	3.2	10	3.2	3.2	10	3.2	3.2	10	3.2
i19	9.5	10	9.5	9.5	10	9.5	9.5	10	9.5
i20	2.2	2.2	7	2.2	2.2	7	2.2	2.2	7
i21	17.5	20	15	17.5	20	15	17.5	20	15
i22	0	0	0	0	0	0	0	0	0
i23	3.2	15	3.2	3.2	15	3.2	3.2	15	3.2
i24	8.7	20	8.7	8.7	20	8.7	8.7	20	8.7
i25	0	0	0	0	0	0	0	0	0
i26	3.5	20	3.5	3.5	20	3.5	3.5	20	3.5
i27	0	0	0	0	0	0	0	0	0
i28	0	0	0	0	0	0	0	0	0
i29	2.4	15	2.4	2.4	15	2.4	2.4	15	2.4
i30	10.6	20	1.6	10.6	20	1.6	10.6	20	1.6
