Load	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103
i1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i2	21.70	21.70	50.00	32.42	30.28	24.71	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	26.18	49.37	50.00	49.45	49.07	47.78	43.93	39.62	35.38	31.19	28.19	25.84	24.33	24.81	37.16	34.82	32.91	28.37	22.79	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	21.70	22.75	29.17	43.33	39.14	24.82	45.90	21.70	40.34	21.70	29.94	33.34	23.89	21.70	21.70	21.70	38.71	32.91	21.70	21.70	37.87	21.70	21.70	21.70	22.38	21.70	42.65	21.70	39.46	24.05	37.38	21.70	21.70	21.70	21.70	21.70	36.55	32.38	34.27	21.70	21.70	42.47	32.54	44.59	33.40	40.65	43.93	25.84	43.95	29.69	38.49	32.33	21.70
i3	2.40	2.40	20.00	9.07	7.73	4.27	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	5.19	19.61	20.00	19.66	19.42	18.62	16.23	13.54	10.91	8.30	6.43	4.97	4.04	4.34	12.02	10.56	9.37	6.55	3.08	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	3.05	7.04	15.85	13.25	4.34	17.45	2.40	13.99	2.40	7.52	9.64	3.76	2.40	2.40	2.40	12.98	9.37	2.40	2.40	12.46	2.40	2.40	2.40	2.82	2.40	15.43	2.40	13.45	3.86	12.15	2.40	2.40	2.40	2.40	2.40	11.63	9.04	10.22	2.40	2.40	15.32	9.14	16.64	9.68	14.19	16.23	4.97	16.23	7.37	12.84	9.01	2.40
i4	7.60	7.60	20.00	12.30	11.36	8.92	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	9.56	19.73	20.00	19.76	19.59	19.03	17.34	15.45	13.59	11.76	10.44	9.41	8.75	8.96	14.38	13.35	12.51	10.52	8.08	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	7.60	8.06	10.87	17.08	15.24	8.97	18.20	7.60	15.77	7.60	11.21	12.70	8.56	7.60	7.60	7.60	15.05	12.51	7.60	7.60	14.69	7.60	7.60	7.60	7.90	7.60	16.78	7.60	15.38	8.63	14.47	7.60	7.60	7.60	7.60	7.60	14.11	12.28	13.11	7.60	7.60	16.70	12.35	17.63	12.73	15.90	17.34	9.41	17.35	11.10	14.95	12.26	7.60
i5	94.20	94.20	130.00	107.76	105.05	98.01	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	99.87	129.21	130.00	129.31	128.83	127.19	122.32	116.86	111.50	106.20	102.41	99.43	97.53	98.14	113.76	110.79	108.38	102.64	95.58	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	94.20	95.53	103.65	121.56	116.26	98.15	124.81	94.20	117.78	94.20	104.62	108.92	96.97	94.20	94.20	94.20	115.72	108.38	94.20	94.20	114.66	94.20	94.20	94.20	95.06	94.20	120.70	94.20	116.67	97.17	114.03	94.20	94.20	94.20	94.20	94.20	112.98	107.71	110.10	94.20	94.20	120.47	107.91	123.16	109.00	118.17	122.32	99.43	122.34	104.31	115.43	107.64	94.20
i6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i7	22.80	22.80	30.00	25.53	24.98	23.57	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	23.94	29.84	30.00	29.86	29.76	29.44	28.46	27.36	26.28	25.21	24.45	23.85	23.47	23.59	26.73	26.14	25.65	24.50	23.08	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	22.80	23.07	24.70	28.30	27.24	23.59	28.96	22.80	27.54	22.80	24.90	25.76	23.36	22.80	22.80	22.80	27.13	25.65	22.80	22.80	26.91	22.80	22.80	22.80	22.97	22.80	28.13	22.80	27.32	23.40	26.79	22.80	22.80	22.80	22.80	22.80	26.58	25.52	26.00	22.80	22.80	28.08	25.56	28.62	25.78	27.62	28.46	23.85	28.46	24.83	27.07	25.50	22.80
i8	30.00	30.00	20.00	26.21	26.97	28.94	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	28.42	20.22	20.00	20.19	20.33	20.78	22.14	23.67	25.17	26.65	27.71	28.54	29.07	28.90	24.54	25.36	26.04	27.64	29.62	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	29.63	27.36	22.36	23.84	28.90	21.45	30.00	23.41	30.00	27.09	25.89	29.23	30.00	30.00	30.00	23.99	26.04	30.00	30.00	24.29	30.00	30.00	30.00	29.76	30.00	22.60	30.00	23.72	29.17	24.46	30.00	30.00	30.00	30.00	30.00	24.75	26.23	25.56	30.00	30.00	22.66	26.17	21.91	25.87	23.30	22.14	28.54	22.14	27.18	24.07	26.25	30.00
i9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i10	5.80	7.00	20.00	11.18	10.10	7.31	5.96	6.29	6.55	6.77	6.92	7.00	7.00	6.96	6.89	6.74	6.57	6.49	6.22	5.93	8.05	19.69	20.00	19.72	19.53	18.89	16.95	14.79	12.66	10.56	9.05	7.88	7.12	7.36	13.56	12.38	11.42	9.15	6.35	5.99	6.21	6.42	6.60	6.72	6.79	6.77	6.71	6.56	6.37	6.30	6.06	6.33	9.55	16.65	14.55	7.37	17.94	6.34	15.15	6.36	9.93	11.64	6.90	6.17	6.19	6.75	14.34	11.42	6.34	6.72	13.91	6.65	6.96	6.43	6.14	5.99	16.31	6.18	14.71	6.98	13.67	6.13	6.07	6.36	6.36	6.37	13.25	11.16	12.11	6.10	5.85	16.22	11.24	17.29	11.67	15.31	16.95	7.88	16.96	9.81	14.22	11.13	6.02
