line	From	To	R	X	pmax	cand	built	cost
l1	1	2	0.0192	0.0575	130	0	1	14.92
l2	1	3	0.0452	0.1652	130	0	1	17.52
l3	2	4	0.057	0.1737	65	0	1	12.2
l4	3	4	0.0132	0.0379	130	0	1	14.32
l5	2	5	0.0472	0.1983	130	0	1	17.72
l6	2	6	0.0581	0.1763	165	0	1	22.31
l7	4	6	0.0119	0.0414	90	0	1	10.19
l8	5	7	0.046	0.116	70	0	1	11.6
l9	6	7	0.0267	0.082	130	0	1	15.67
l10	6	8	0.012	0.042	32	0	1	4.4
l11	6	9	0	0.208	65	0	1	6.5
l12	6	10	0	0.556	32	0	1	3.2
l13	9	11	0	0.208	65	0	1	6.5
l14	9	10	0	0.11	65	0	1	6.5
l15	4	12	0	0.256	65	0	1	6.5
l16	12	13	0	0.14	32	0	1	3.2
l17	12	14	0.1231	0.2559	32	0	1	15.51
l18	12	15	0.0662	0.1304	32	0	1	9.82
l19	12	16	0.0945	0.1987	16	0	1	11.05
l20	14	15	0.221	0.1997	16	0	1	23.7
l21	16	17	0.0524	0.1923	16	0	1	6.84
l22	15	18	0.1073	0.2185	16	0	1	12.33
l23	18	19	0.0639	0.1292	16	0	1	7.99
l24	19	20	0.034	0.068	16	0	1	5
l25	10	20	0.0936	0.209	32	0	1	12.56
l26	10	17	0.0324	0.0845	32	0	1	6.44
l27	10	21	0.0348	0.0749	32	0	1	6.68
l28	10	22	0.0727	0.1499	32	0	1	10.47
l29	21	22	0.0116	0.0236	32	0	1	4.36
l30	15	23	0.1	0.202	16	0	1	11.6
l31	22	24	0.115	0.179	16	0	1	13.1
l32	23	24	0.132	0.27	16	0	1	14.8
l33	24	25	0.1885	0.3292	16	0	1	20.45
l34	25	26	0.2544	0.38	16	0	1	27.04
l35	25	27	0.1093	0.2087	16	0	1	12.53
l36	28	27	0	0.396	65	0	1	6.5
l37	27	29	0.2198	0.4153	16	0	1	23.58
l38	27	30	0.3202	0.6027	16	0	1	33.62
l39	29	30	0.2399	0.4533	26	0	1	26.59
l40	8	28	0.0636	0.2	32	0	1	9.56
l41	6	28	0.0169	0.0599	32	0	1	4.89
l42	1	2	0.0192	0.0575	130	1	0	14.92
l43	1	3	0.0452	0.1652	130	1	0	17.52
l44	2	4	0.057	0.1737	65	1	0	12.2
l45	3	4	0.0132	0.0379	130	1	0	14.32
l46	2	5	0.0472	0.1983	130	1	0	17.72
l47	2	6	0.0581	0.1763	165	1	0	22.31
l48	4	6	0.0119	0.0414	90	1	0	10.19
l49	5	7	0.046	0.116	70	1	0	11.6
l50	6	7	0.0267	0.082	130	1	0	15.67
l51	6	8	0.012	0.042	32	1	0	4.4
l52	6	9	0	0.208	65	1	0	6.5
l53	6	10	0	0.556	32	1	0	3.2
l54	9	11	0	0.208	65	1	0	6.5
l55	9	10	0	0.11	65	1	0	6.5
l56	4	12	0	0.256	65	1	0	6.5
l57	12	13	0	0.14	32	1	0	3.2
l58	12	14	0.1231	0.2559	32	1	0	15.51
l59	12	15	0.0662	0.1304	32	1	0	9.82
l60	12	16	0.0945	0.1987	16	1	0	11.05
l61	14	15	0.221	0.1997	16	1	0	23.7
l62	16	17	0.0524	0.1923	16	1	0	6.84
l63	15	18	0.1073	0.2185	16	1	0	12.33
l64	18	19	0.0639	0.1292	16	1	0	7.99
l65	19	20	0.034	0.068	16	1	0	5
l66	10	20	0.0936	0.209	32	1	0	12.56
l67	10	17	0.0324	0.0845	32	1	0	6.44
l68	10	21	0.0348	0.0749	32	1	0	6.68
l69	10	22	0.0727	0.1499	32	1	0	10.47
l70	21	22	0.0116	0.0236	32	1	0	4.36
l71	15	23	0.1	0.202	16	1	0	11.6
l72	22	24	0.115	0.179	16	1	0	13.1
l73	23	24	0.132	0.27	16	1	0	14.8
l74	24	25	0.1885	0.3292	16	1	0	20.45
l75	25	26	0.2544	0.38	16	1	0	27.04
l76	25	27	0.1093	0.2087	16	1	0	12.53
l77	28	27	0	0.396	65	1	0	6.5
l78	27	29	0.2198	0.4153	16	1	0	23.58
l79	27	30	0.3202	0.6027	16	1	0	33.62
l80	29	30	0.2399	0.4533	26	1	0	26.59
l81	8	28	0.0636	0.2	32	1	0	9.56
l82	6	28	0.0169	0.0599	32	1	0	4.89
l83	1	4	0.0586	0.2033	80	1	0	13.86
l84	1	5	0.0666	0.256	80	1	0	14.66
l85	1	6	0.0706	0.234	80	1	0	15.06
l86	1	7	0.0974	0.3161	80	1	0	17.74
l87	1	8	0.0827	0.2761	80	1	0	16.27
l88	1	28	0.0876	0.294	80	1	0	16.76
l89	2	3	0.0646	0.2118	80	1	0	14.46
l90	2	7	0.085	0.2585	80	1	0	16.5
l91	2	8	0.0703	0.2185	80	1	0	15.03
l92	2	28	0.0752	0.2364	80	1	0	15.52
l93	3	5	0.0982	0.2777	80	1	0	17.82
l94	3	6	0.0253	0.0795	80	1	0	10.53
l95	3	7	0.0521	0.1616	80	1	0	13.21
l96	3	8	0.0374	0.1216	80	1	0	11.74
l97	3	28	0.0423	0.1395	80	1	0	12.23
l98	4	5	0.0849	0.2397	80	1	0	16.49
l99	4	7	0.0388	0.1236	80	1	0	11.88
l100	4	8	0.0241	0.0836	80	1	0	10.41
l101	4	28	0.029	0.1015	80	1	0	10.9
l102	5	6	0.0729	0.1982	80	1	0	15.29
l103	5	8	0.085	0.2403	80	1	0	16.5
l104	5	28	0.0899	0.2582	80	1	0	16.99
l105	7	8	0.0389	0.1242	80	1	0	11.89
l106	7	28	0.0438	0.1421	80	1	0	12.38
l107	10	12	0.0122	0.4758	32	1	0	4.42
l108	10	14	0.1354	0.7318	32	1	0	16.74
l109	10	15	0.0785	0.6063	32	1	0	11.05
l110	10	16	0.085	0.277	32	1	0	11.7
l111	10	18	0.1859	0.4065	32	1	0	21.79
l112	10	19	0.1278	0.2772	32	1	0	15.98
l113	10	23	0.1786	0.5479	32	1	0	21.06
l114	10	24	0.1617	0.2778	32	1	0	19.37
l115	10	25	0.1266	0.6071	32	1	0	15.86
l116	10	26	0.3811	0.9872	32	1	0	41.31
l117	10	27	0.0172	0.7743	32	1	0	4.92
l118	10	29	0.2371	1.1897	32	1	0	26.91
l119	10	30	0.3375	1.3771	32	1	0	36.95
l120	12	17	0.0447	0.3912	32	1	0	7.67
l121	12	18	0.1737	0.3491	32	1	0	20.57
l122	12	19	0.14	0.4784	32	1	0	17.2
l123	12	20	0.1059	0.5465	32	1	0	13.79
l124	12	21	0.0471	0.5508	32	1	0	7.91
l125	12	22	0.0588	0.5745	32	1	0	9.08
l126	12	23	0.1664	0.3326	32	1	0	19.84
l127	12	24	0.1739	0.6027	32	1	0	20.59
l128	12	25	0.1386	0.932	32	1	0	17.06
